longitude,latitude,code,name,type,phone,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city
-93.236,42.768,BEED,Beeds Lake State Park,SP,641.456.2047,all year,,144,,WES DP DW SH RS,IA,2.2,NW,Hampton
-90.423,42.247,BELV,Bellevue State Park,SP,563.872.4019,all year,,50,,E DP SH RS,IA,0.8,S,Bellevue
-93.889,42.34,BELM,Bells Mills County Park,CP,515.832.9570,,,60,,E DP DW SH L$,IA,5.1,N,Stratford
-92.151,41.386,BELD,Belva - Deer Rec Area,CP,641.622.3757,,,56,,E DP DW SH,IA,4.6,NE,Sigourney
-90.922,41.746,BENN,Bennett Park,CP,563.886.6930,,,13,,E FT DW SH,IA,2.7,E,Bennett
-91.918,42.162,BENT,Benton City  -  Fry Area,CP,319.472.3318,,,25,,E,IA,5.2,E,Vinton
-91.852,40.725,BENS,Bentonsport,CP,319.293.3589,,,,,E,IA,0.1,E,Bentonsport
-93.386,42.526,BESS,Bessman-Kemp Co Park,CP,,,,,,NH ND NS,IA,0.6,NW,Alden
-91.226,40.952,BIGH,Big Hollow Creek Park,CP,319.753.8260,,,48,,WE DP FT DW SH,IA,,,Pleasant Grove
-92.434,42.556,BIGW,Big Woods Lake,CP,319.266.6813,,,,,NH,IA,1.5,N,Cedar Falls
-96.326,42.306,BIGE,Bigelow County Park,CP,712.946.7114,,,,,E DP,IA,1.9,W,Salix
-92.478,42.563,BLAP,Black Hawk County Park,CP,319.433.7275,,,,,E 40ft,IA,2.5,NW,Cedar Falls
-95.017,42.292,BLAC,Black Hawk State Park,SP,712.657.8712,all year,,128,,E DP DW SH RS L$,IA,2.3,SE,Lake View
-91.212,43.044,BLOO,Bloody Run County Park,CP,563.245.1516,,,19,,NH,IA,1.7,W,Marquette
-93.685,41.701,BOBS,Bob Shetler - Saylorville Lake,COE,515.276.0873,early may-late sep,,70,,WES DP DW SH RS PA,IA,8,NW,Des Moines
-93.398,40.708,BOBW,Bobwhite State Park,SP,641.873.4670,,,30,,E ND NS NR,IA,1.7,W,Allerton
-95.363,41.396,BOTN,Botna Bend County Park,CP,712.741.5465,all year,,40,,WES DP DW SH L$,IA,0.4,N,Hancock
-93.04,42.236,BREK,Brekke Memorial Park,CP,,,primitive,,,NH ND FT DW NS,IA,1.4,SE,Union
-93.012,40.876,BRID,Bridgeview - Rathbun Lake,COE,641.724.3062,early may-late sep,,110,,E DP DW SH RS PA L$,IA,10.1,W,Moravia
-93.802,42.432,BRIG,Briggs Woods Park,CP,515.832.9570,,,80,,WES DP 40ft DW SH L$,IA,2.7,S,Webster City
-91.85,41.224,BRIN,Brinton Timber,CP,,,,,,NH ND NS,IA,3.7,NW,Brighton
-96.326,42.306,BROW,Browns Lake  -  Bigelow Park,CP,712.946.7114,,,40,,,IA,2,W,Salix
-96.326,42.306,BROW,Browns Lake Bigelow Park,CP,712.946.7114,,,,,E FT DW SH,IA,2,W,Salix
-93.983,42.394,BRUS,Brushy Creek  State Rec Area,SRA,515.543.8298,all year,,180,,E DP SH RS,IA,4.2,NE,Lehigh
-92.869,40.85,BUCK,Buck Creek - Rathbun Lake,COE,641.724.3206,early may-late sep,,40,,E DP SH RS PA,IA,3.8,SW,Moravia
-91.209,42.879,BUCK,Buck Creek County Park,CP,,,primitive,,,NH DW,IA,,,
-95.338,42.884,BUEN,Buena Vista Co Park,CP,712.295.7985,,,18,,E FT DW SH RS L$,IA,4.7,W,Linn Grove
-91.687,42.471,BUFA,Buffalo Creek Area,CP,,,primitive,,,NH ND VT NS,IA,2.4,E,Winthrop
-91.542,42.287,BUFC,Buffalo Creek County Park,CP,319.892.6450,,,18,,WE DP,IA,0.7,NW,Coggon
-90.745,41.454,BUFF,Buffalo Shores County Park,CP,563.328.3281,,,65,,WE DP DW SH,IA,1.2,W,Buffalo
-90.182,41.935,BULG,Bulgers Hollow - Mississippi River,COE,815.259.3628,,,25,,NH DP NS NR L$,IA,6.2,N,Clinton
-96.319,42.637,BURO,Bur Oak - Hillview County Rec Area,CP,,,,18,,NH VT DW NS,IA,,,Hinton
-94.401,43.488,BURT,Burt Lake County Park,CP,515.295.2138,early apr-late oct,noisy,,,E DP DW L$,IA,8.4,NW,Swea City
-92.761,42.844,CAMP,Camp Comfort,CP,,,,40,,E ND FT DW NS,IA,,,Greene
-95.043,42.308,CAMC,Camp Crescent Park,CP,712.657.2189,,,,,E DP DW SH L$,IA,0.6,E,Lake View
-91.014,41.162,CAPP,Cappy Russell Access,COE,,,no facilities,,,NH ND NT NW NS NR N$,IA,4.6,N,Oakville
-95.424,41.237,CARS,Carson City Park,CP,,,,15,,WE DP FT DW SH L$,IA,,,Carson
-94.517,41.509,CASE,Casey City Park - Abram Rutt,CP,641.746.3315,all year,,10,,E DP DW SH L$,IA,0.3,N,Casey
-92.494,42.76,CEDA,Cedar Bend Park,CP,,,,40,,E DP DW SH N$,IA,2.6,NW,Waverly
-92.855,43.283,CEDA,Cedar Bridge County Park,CP,,,,18,,WE DP FT DW SH,IA,1.8,W,Osage
-92.859,41.258,CEDA,Cedar Creek Access,CP,,,primitive,,,NH ND NS,IA,11.1,W,Oskaloosa
-91.235,41.721,CEDA,Cedar Valley Co Park,CP,,,,30,,E ND l$,IA,26.2,N,Cedar Bluffs
-92.548,42.959,CEDV,Cedar View Park,CP,641.435.4156,,,,,E DW SH,IA,0.7,NW,Nashua
-91.138,42.11,CENT,Central Park,CP,563.487.3541,mid apr-mid oct,,100,,WES DP FT DW,IA,2.6,W,Center Junctio
-92.206,41.303,CHAC,Chacauqua River Access,CP,,,river ramp - primitive - unknown facilities,,,NH ND NS,IA,,,Sigourney
-95.557,42.738,CHEK,Cherokee City Park,CP,712.225.5749,,,,,E DP,IA,0.8,S,Cherokee
-93.68,41.732,CHER,Cherry Glen - Saylorville Lake,COE,515.964.8792,mid apr-mid oct,,125,,WES DP 60ft DW SH RS PA,IA,9.8,N,Des Moines
-93.429,41.791,CHIC,Chichaqua Bottoms Greenbelt,CP,515.967.2596,,,36,,E DW SH,IA,7.1,S,Maxwell
-92.503,43.033,CHIS,Chickasaw Park,CP,,,,,,NH ND PT NS,IA,2.4,W,Ionia
-96.17,43.07,CHIL,Childrens Park,CP,712.722.0761,,,,,E ND NS NR L$,IA,0.8,SE,Sioux Center
-91.939,43.423,CHIM,Chimney Rock County Park,CP,,,primitive,,,NH ND VT NS NR,IA,9.2,E,Cresco
-93.499,40.863,CIND,Cinder Path RV Park,CP,641.877.6841,,,14,,E DP DW NS,IA,0.3,N,Humeston
-90.809,41.458,CLAR,Clarks Ferry - Mississippi River,COE,563.381.4043,early apr-late sep,,45,,E DP SH RS PA,IA,12.3,E,Muscatine
-93.389,43.111,CLEA,Clear Lake State Park,SP,641.357.4212,all year,,215,,WES DP 60ft DW SH RS L$,IA,2.3,S,Clear Lake
-95.476,42.351,COBB,Cobb City Park,CP,712.364.2958,,,45,,WE DP DW SH L$,IA,0.4,NW,Ida Grove
-95.136,41.255,COCK,Cocklin Fish Farm,CP,712.769.2372,,,56,,E FT NS,IA,1.4,N,Griswold
-91.534,42.494,COFF,Coffins Grove,CP,563.927.3410,,,25,,E DP,IA,3.9,W,Manchester.
-95.084,41.291,COLS,Cold Spring Park,CP,712.769.2372,,,80,,E DP DW SH,IA,1,S,Lewis
-92.642,43.156,COLW,Colwell County Park,CP,641.756.3490,,,,,NH ND NS N$,IA,2.4,W,Colwell
-94.465,42.624,COOP,Coopers Cove Co Park,CP,,mid apr-mid oct,,12,,E DP FT DW SH,IA,6.5,W,Clare
-93.335,40.751,CORY,Corydon Lake Co Park,CP,,,,20,,WE ND FT DW SH,IA,1,SW,Corydon
-91.53,41.723,COTT,Cottonwood - Coralville Lake,COE,515.276.4656,mid apr-mid oct,,,,NH DP SH RS PA,IA,4.3,N,Iowa City
-95.601,42.275,CRAW,Crawford Creek County Rec Area,CP,,,3 campgrounds,24,,E DP DW SH,IA,2.8,S,Battle Creek
-94.044,41.213,CRIS,Criss Cove County Park,CP,,,,16,,WE ND VT NS L$,IA,8.3,S,Winterset.
-93.19,42.478,CROS,Cross Ford River Access,CP,,,primitive,,,NH ND NS,IA,4.8,SE,Iowa Falls
-93.783,43.23,CRYS,Crystal Lake Park,CP,,,,95,,E DP FT DW SH NR L$,IA,0.7,NE,Crystal Lake
-92.063,42.544,CUTS,Cutshall Area,CP,,,primitive,,,NH VT,IA,4.7,N,Jesup
-93.573,43.465,DAHL,Dahle Park,CP,641.565.3390,,,,,E PT DW L$,IA,3.7,NW,Lake Mills
-93.043,42.249,DAIS,Daisy Long County Park,CP,641.648.4361,,,45,,E DP DW SH,IA,1.1,E,Union
-93.292,42.171,DAKI,Dakins Lake County Park,CP,641.487.7477,,,10,,E,IA,0.8,N,Zearing
-94.019,41.629,DALL,Dallas County Fairgrounds,CP,515.993.4984,,,,,WE DP DW SH L$,IA,1,N,Adel
-93.068,42.28,DAVI,David Bates Memorial Park,CP,,,,,,NH ND VT DW NS L$,IA,2.4,N,Union
-96.189,42.009,DECA,Decatur Bend Access,CP,,all year,primitive,6,,E PT L$,IA,4.9,W,Onawa
-90.47,41.96,DEEP,Deep Creek,CP,563.677.2710,,,11,,E DP FT NS,IA,0.2,W,Charlotte
-96.325,42.643,DEER,Deer Ridge - Hillview County Rec Area,CP,,,,27,,WE FT DW SH,IA,,,Hinton
-92.303,42.462,DEER,Deerwood City Park,CP,319.493.0655,,,,,WES DP DW SH L$,IA,2.9,SE,Waterloo
-95.338,41.826,DEFI,Defiance RV Park,CP,712 748.3431,,,,,WE DP DW SH RS L$,IA,0.1,N,Defiance
-94.233,42.95,DEVI,Devine Wildlife Area,CP,515.295.2138,,,,,NH ND NS,IA,8.3,S,Algona
-92.542,41.593,DIAM,Diamond Lake County Park,CP,641.623.3630,,,100,,E DP DW SH L$,IA,0.9,NW,Montezuma
-94.687,42.118,DICK,Dickson Timber County Park,CP,,,,,,E,IA,4.8,NE,Glidden
-95.474,42.935,DOG,Dog Creek Co Park,CP,712.295.7200,,,,,NH FT L$,IA,2.9,SE,Sutherland
-94.083,42.387,DOLL,Dolliver Memorial State Park,SP,515.359.2539,all year,,30,,E DP DW SH RS L$,IA,4.3,SE,Otho
-94.027,42.12,DONW,Don Williams Park,CP,515.275.9906,,,,,E DP DW SH L$,IA,5.6,N,Ogden
-95.705,43.163,DOUM,Douma Co Park,CP,712.295.7200,,,,,NH FT L$,IA,2.8,SW,Sanborn
-92.046,42.741,DOWN,Downing County Park,CP,563.425.3613,,,,,E FT NS,IA,3.2,SW,Westgate
-93.508,42.654,DOWS,Dows Pool Park,CP,,,,,,E DW SH,IA,0.4,SW,Dows
-92.479,40.802,DRAK,Drakesville City Park,CP,641.722.3859,,,6,,E ND NS,IA,4.8,NW,Bloomfield
-90.641,42.523,DUBU,Dubuque Yacht Basin and RV Park,CP,563.556.7708,,walk to sites only,56,,WE,IA,1.9,NE,Dubuque
-91.771,42.996,DUTT,Duttons Cave Co Park,CP,,,,5,,E PT DW,IA,3,NE,West Union
-93.146,42.472,EAGL,Eagle City County Park,CP,,,,,,NH ND NS,IA,6.9,SE,Iowa Falls
-93.744,41.033,EASL,East Lake Co Park,CP,641.342.3960,,,,,ND NS,IA,1.2,E,Osceola
-95.138,43.134,EAST,East Leach City Park,CP,712.264.7265,,,200,,E DP DW SH L$,IA,0.9,S,Spencer
-90.855,42.047,EDEN,Eden Valley Park,CP,563.847.7202,,,,,E DP DW SH,IA,2,S,Baldwin
-91.551,41.68,EDGE,Edgewater City Park,CP,319.466.7605,,,,,,IA,1.7,NW,Iowa City
-91.399,42.645,EDGW,Edgewood Campground,CP,563.928.6613,,,,,E NS,IA,0.1,E,Edgewood
-94.669,42.739,ELBE,Elbert Park,CP,712.335.4841,,,,,WES DP NS,IA,0.2,N,Pocahontas
-93.56,42.941,ELDR,Eldred Sherwood Park,CP,641.923.2720,,,,,E DP DW SH,IA,3.1,NE,Goodell
-93.086,41.399,ELKR,Elk Rock State Park,SP,641.842.6008,all year,,75,,E DP DW SH RS L$,IA,26.2,E,Sweetwater
-91.398,42.852,ELKA,Elkader City Park,CP,563.245.2098,,,125,,WE DP DW SH,IA,0.4,E,Elkader
-95.09,41.57,ELKH,Elkhorn Creek Rec Area,CP,,,,7,,E ND NS L$,IA,2.2,SW,Elk Horn
-95.175,43.355,EMER,Emerson Bay State Rec Area,SRA,712.337.3211,all year,,115,,E DP DW SH RS L$,IA,2.4,NW,Milford
-92.734,41.235,EVEL,Eveland Access,CP,641.673.9327,,,26,,E DW,IA,4,SW,Beacon
-91.725,41.733,FWKE,F. W. Kent County Park,CP,319.645.2315,,,85,,WE DP DW SH,IA,3.6,NW,Tiffin
-90.924,41.433,FAIR,Fairport State Rec Area,SRA,563.263.4337,all year,,40,,E DP DW SH RS L$,IA,6.2,E,Muscatine
-94.628,42.495,FEAT,Featherstone County Park,CP,712.297.7131,,,61,,WE DP DW SH,IA,6.9,N,Rockwell City
-91.008,41.162,FERR,Ferry Landing,COE,563.263.7913,,,50,,NH DP NS NR,IA,18.3,S,Muscatine
-94.24,40.737,FIFE,Fifes Grove Co Park,CP,641.464.2787,,,10,,E ND FT NS,IA,1.6,N,Mount Ayr
-90.908,42.324,FILL,Fillmore County Rec Area,CP,563.556.6745,,,,,E L$,IA,0.6,NE,Fillmore
-90.806,42.654,FINL,Finleys Landing City Park,CP,563.552.1571,,,30,,E DW SH,IA,12.8,NW,Dubuque
-91.118,41.27,FLAM,Flaming Prairie Park,CP,319.523.8381,,,24,,E,IA,3.7,E,Grandview
-91.908,42.604,FONT,Fontana County Park,CP,319.636.2617,,,55,,E DP DW SH L$,IA,9.4,N,Independence
-93.046,42.158,FORE,Forest Reserve - Marshalltown,CP,641.752.5490,,,,,NH ND NS,IA,,,Liscomb
-91.311,42.614,FOUN,Fountain Springs County Park,CP,563.927.3410,,,,,,IA,2.5,NE,Greeley
-90.968,41.063,FOUR,Fourth Pumping Plant Rec Area,CP,319.753.8260,,primitive,22,,E DP,IA,7,NE,Kingston
-94.207,42.677,FRAN,Frank A Gotch Park,CP,515.332.4087,,,,,E DP SH L$,IA,3.1,S,Humboldt
-91.106,42.852,FREN,Frenchtown County Park,CP,563.245.1516,,,,,NH,IA,4.3,N,Guttenberg
-91.471,42.908,FRIE,Friedens County Park,CP,563.245.1516,,,,,NH,IA,5,NW,Elkader
-95.917,41.268,FRND,Friendship City Park,CP,,,,,,E DP,IA,2.9,W,Council Bluffs
-94.865,43.393,FTDE,Ft. Defiance State Park,SP,712.337.3211,all year,,15,,E RS,IA,1.5,SW,Estherville
-95.414,42.506,GALV,Galva City Park,CP,712.371.9438,,,6,,E ND FT NS,IA,0.2,SE,Galva
-93.222,42.886,GALV,Galvin Memorial Park,CP,641.892.4718,,,,,E DP DW SH,IA,0.8,SW,Sheffield
-92.85,42.938,GATE,Gates Bridge County Park,CP,641.756.3490,,,,,NH ND NS N$,IA,2,S,Marble Rock
-91.383,40.824,GEOD,Geode State Park,SP,319.392.4601,all year,,170,,E DP DW SH RS L$,IA,4.5,SW,Danville
-92.946,43.054,GEOW,George Wyatt City Park,CP,641.756.3718,,,36,,E DW SH,IA,0.2,NE,Rockford
-92.396,42.536,GEOR,George Wyth State Park,SP,319.232.5505,all year,,70,,E DP DW SH RS L$,IA,2.5,E,Cedar Falls
-91.632,42.959,GILB,Gilbertson Conservation Education Area,CP,563.426.5740,,,28,,E DP DW SH,IA,0.1,NW,Elgin
-92.592,41.343,GLEN,Glendale Access,CP,,,unknown facilities,,,NH,IA,,,Oskaloosa
-95.734,41.048,GLEN,Glenwood Lake Park,CP,712.527.3509,,,,,E,IA,0.5,E,Glenwood
-91.837,43.041,GOEK,Goeken Co Park,CP,,,only 1 electric site,,,E VT,IA,5.6,N,West Union
-94.689,42.551,GORD,Gordon Prange City Park,CP,712.468.2411,,,,,WES L$,IA,0.3,W,Pomeroy
-91.957,43.009,GOUL,Gouldsburg County Park,CP,563.425.3613,,,26,,E DP DW SH,IA,4.9,N,Hawkeye
-93.033,42.168,GRAM,Grammer Grove Wildlife Area,CP,,,tent only,,,NH ND FT DW NS,IA,1.9,SW,Liscomb
-94.893,42.264,GRAN,Grant County Park,CP,712.662.4530,,primitive,,,WES DP,IA,1.2,NW,Auburn
-91.362,40.79,GRAY,Grays Landing,CP,319.376.2341,,,,,NH L$,IA,3.6,N,Denmark
-95.081,41.9,GREA,Great Western Co Park,CP,712.792.4614,,,8,,WE DP L$,IA,1,SW,Manning
-94.383,41.115,GREE,Green Valley State Park,SP,641.782.5131,all year,,145,,E DP DW SH RS L$,IA,4,N,Creston
-92.802,42.893,GREE,Greene Rec Area - Camp Comfort,CP,319.278.4237,,,30,,E DP NS,IA,0.2,S,Greene
-95.165,43.371,GULL,Gull Point State Park,SP,712.337.3211,all year,,110,,E DP DW SH RS L$,IA,3.3,N,Milford
-94.967,40.984,HACK,Hacklebarney Woods County Park,CP,,,,14,,E VT NS NR,IA,3.8,N,Villisca
-94.998,42.385,HAGG,Hagge County Park,CP,712.662.4530,,,15,,WES DP DW SH L$,IA,2.6,S,Sac City
-92.923,43.354,HALV,Halvorson Park,CP,641.736.2221,,,,,E DP DW SH,IA,1.7,S,St. Ansgar
-92.112,41.863,HANN,Hannen County Park,CP,319.454.6382,,,90,,E DW SH,IA,3.5,SW,Blairstown
-92.411,43.119,HAUS,Haus Park,CP,,,tents only,,,NH ND NS,IA,0.3,E,North Washingt
-96.488,43.003,HAWA,Hawarden City Park,CP,,,,15,,WES DP L$,IA,0.4,N,Hawarden
-94.37,41.988,HEND,Henderson Co Park,CP,,all year,,4,,E,IA,2.1,S,Jefferson
-93.353,41.99,HICK,Hickory Grove County Park,CP,515.232.2516,,,54,,E SH,IA,5.6,SE,Nevada
-92.311,42.27,HICL,Hickory Hills Park -  La Porte City,CP,319.342.3350,,,80,,WES DP DW SH L$,IA,6.9,SW,La Porte City
-93.609,41.18,HICN,Hickory Hills Park - New Virginia,CP,515.961.6169,,,,,NH ND NS,IA,6.2,E,New Virgiinia
-91.521,41.555,HILL,Hills Access,CP,319.645.2315,,,13,,E,IA,0.7,E,Hills
-95.853,43.191,HILP,Hills Park - Sheldon,CP,712.324.2769,,,23,,WE DP L$,IA,0.7,N,Sheldon
-96.319,42.637,HILV,Hillview County Rec Area,CP,,,2 campgrounds,,,,IA,1.5,NW,Hinton
-95.857,41.413,HITC,Hitchcock County Nature Center,CP,712.328.5833,,,19,,E DP DW SH L$,IA,1.3,S,Honey Creek
-91.976,42.164,HOEF,Hoefle - Dulin Area County Park,CP,,,,16,,E PT,IA,2.2,E,Vinton
-91.311,42.614,HOLB,Holbert Park,CP,,,,,,,IA,2.5,NE,Greeley
-92.928,40.861,HONE,Honey Creek State Park,SP,641.724.3739,all year,,150,,RS,IA,6.1,W,Moravia
-93.997,40.943,HOPE,Hopeville Square Co Park,CP,641.342.3960,,,4,,E FT NS,IA,0,N,Hopeville
-90.664,42.055,HORS,Horseshoe Pond,CP,563.652.2484,,,20,,E DP FT DW SH,IA,1,S,Maquoketa
-92.559,42.985,HOWA,Howards Woods,CP,,,,,,NH,IA,2.5,NW,Nashua
-92.973,41.365,HOWE,Howell Station - Red Rock Lake,COE,641.828.7522,mid apr-late oct,,140,,E DP DW SH RS,IA,4.2,SW,Pella
-91.38,40.391,HUBI,Hubinger Landing Park,CP,319.524.7122,,,18,,WE DP NS,IA,1.3,SE,Keokuk
-96.134,41.925,HUFF,Huff - Warner Access Area,CP,,,,25,,E DP VT DW L$,IA,2.7,W,Blencoe
-94.575,42.113,HYDE,Hyde Park,CP,,,,28,,E FT DW,IA,6.4,N,Scranton
-95.467,42.348,IDA,Ida Grove City Park,CP,712.364.2428,,,,,E DP FT DW NS RS L$,IA,0.3,NE,Ida Grove
-91.891,42.461,INDE,Independence City RV Park,CP,319.334.6711,,,,,E DP DW SH,IA,0.5,S,Independence
-91.752,40.633,INDI,Indian Lake Park,CP,319.878.3706,,,,,E DP DW SH,IA,0.7,SW,Farmington
-91.236,40.724,INDP,Indian Path Park,CP,319.463.7673,,,12,,E,IA,0.9,N,Wever
-93.377,42.943,INGE,Ingebretson County Park,CP,641.423.5309,,,23,,E DW SH L$,IA,0.4,E,Thornton
-92.881,43.319,INTE,Interstate Co Park,CP,641.732.5204,,,,,WE DP FT DW SH L$,IA,0.8,W,Mitchell
-94.459,43.491,IOWA,Iowa Lake Co Campground,CP,712.867.4422,,,,,NH ND VT DW NS,IA,6.6,N,Armstrong
-95.455,43.5,IOWA,Iowa Lake Co Park,CP,319.655.8466,,,120,1505,E DP SH NR,IA,4,N,Harris
-93.617,42.846,IOWA,Iowa River RV Park,CP,641.444.3386,,,16,,WES DP DW SH,IA,0.1,W,Belmond
-93.551,41.599,IOWS,Iowa State Fairgrounds,CP,515.262.3111,,,,,WES DP,IA,3,E,Des Moines
-96.171,43.436,ISLP,Island Park - Rock Rapids,CP,,,,22,,E DP,IA,,,Rock Rapids
-94.014,41.621,ISLA,Island Park Co Park,CP,515.993.4525,,,,,NH FT DW SH,IA,0.5,NE,Adel
-92.906,40.827,ISLA,Island View - Rathbun Lake,COE,641.647.2079,early may-late sep,,200,,E DP DW SH RS PA,IA,7,N,Centerville
-92.981,41.368,IVAN,Ivans - Red Rock Lake,COE,,,,,,E DW SH NR,IA,4.3,SW,Pella
-91.741,42.599,JACK,Jakway County Park,CP,,,,,,E DW SH,IA,1.5,SW,Aurora
-91.988,40.993,JEFF,Jefferson County Park,CP,641.472.4421,,,,,E FT DW SH,IA,1.5,SW,Fairfield
-93.775,41.78,JEST,Jester County Park,CP,515.323.5366,,,252,,E DP DW SH,IA,2.8,NE,Granger
-94.261,42.731,JOES,Joe Sheldon County Park,CP,515.332.4087,,,,,E DW SH,IA,2.4,W,Humboldt
-90.751,42.079,JOIN,Joinerville County Park,CP,563.652.3783.,,,,,NH NS N$,IA,4.5,W,Maquoketa
-91.597,42.677,JOYS,Joy Springs County Park,CP,,,,,,NH,IA,3.2,W,Strawberry Poi
-94.68,43.122,KEAR,Kearny Park,CP,712.852.4030,,,,,E DW SH NR,IA,0.6,N,Emmetsburg
-94.192,42.583,KENN,Kennedy County Park,CP,515.576.4258,,,100,,E DP DW SH L$,IA,6.1,N,Fort Dodge
-91.816,42.844,KLOC,Klocks Island Park,CP,563.425.4316,,,25,,E DP FT DW SH,IA,0.7,W,Fayette
-94.339,40.792,KOKE,Kokesh Co Park,CP,,,,,,NH ND NS,IA,1.2,S,Diagonal
-95.554,42.704,KOSE,Koser Spring Lake Park,CP,712.225.2715,,,40,,WES DP DW SH L$,IA,3.1,S,Cherokee
-91.981,40.709,LACE,Lacey - Keosauqua State Park,SP,319.293.3502,all year,,113,,E DP DW SH RS L$,IA,1.8,SW,Keosauqua
-93.583,41.296,LAKE,Lake Ahquabi State Park,SP,515.961.7101,all year,,141,,E DP 60ft DW SH RS L$,IA,4.5,S,Indianola
-94.762,41.433,LAKA,Lake Anita State Park,SP,712.762.3564,all year,,162,,WES DP 60ft DW SH RS L$,IA,0.8,S,Anita
-94.711,41.003,LAKE,Lake Binder Co Park,CP,641.322.4230,,primitive,75,,NH,IA,1.6,NE,Corning
-92.917,42.716,LAKE,Lake Considine,CP,,,primitive,,,NH ND NS,IA,4,S,Bristow
-93.692,42.793,LAKC,Lake Cornelia Park,CP,515.532.3185,,,70,,E DW SH,IA,4.7,NE,Clarion
-91.896,41.192,LAKD,Lake Darling State Park,SP,319.694.2323,all year,,118,,NH DP DW SH RS L$,IA,4.1,W,Brighton
-92.446,40.759,LAKE,Lake Fisher,CP,641.664.2260,,call before camping,6,,WE,IA,1.7,W,Bloomfield
-92.55,43.373,LAKE,Lake Hendricks Co Park,CP,641.985.2127,,,80,,E DP FT DW SH,IA,0.6,N,Riceville
-94.735,41.056,LAKE,Lake Icaria Co Park,CP,641.322.4793,,2 campgrounds,100,,WES DP FT DW SH,IA,4.8,N,Corning
-92.182,41.636,LAKI,Lake Iowa County Park,CP,319.655.8465,,,122,,E DP DW SH,IA,8.2,S,Ladora
-92.541,41.29,LAKK,Lake Keomah State Park,SP,641.673.6975,all year,,65,,E DP DW SH RS L$,IA,5.6,E,Oskaloosa
-91.577,41.798,LAKM,Lake Macbride State Park,SP,319.624.2200,all year,,60,,WES DP VT DW SH RS L$,IA,4.3,W,Solon
-95.854,41.197,LAKN,Lake Manawa State Park,SP,712.366.0220,all year,,72,,E DP DW SH RS L$,IA,4.5,S,Council Bluffs
-91.911,43.173,LAME,Lake Meyer County Park,CP,563.534.7145,,,,,E DP DW SH,IA,2.5,W,Calmar
-94.684,40.713,LAKT,Lake of Three Fires State Park,SP,712.523.2700,all year,,140,,E DP DW SH RS L$,IA,3.7,NE,Bedford
-94.437,41.2,LAKE,Lake Orient Rec Area,CP,,,,22,,E,IA,1.2,W,Orient
-96.465,43.386,LAKE,Lake Pahoja Rec Area,CP,,,,,,E DP FT DW SH NR,IA,5.7,N,Inwood
-91.994,40.683,LASU,Lake Sugema County Park,CP,319.293.3532,,,,,E DP DW SH,IA,,,
-92.589,40.816,LAKW,Lake Wapello State Park,SP,641.722.3371,all year,,80,,E DP DW SH RS L$,IA,5.7,W,Drakesville
-93.504,40.877,LAKE,Lakeside Co Park,CP,,,,29,,E DW SH,IA,1.3,N,Humeston
